200;06/01/2020;512;18;5;[UX en apps - diseño - 10, Análisis forense - seguridad informática - 8, Programar en primaria - educación - 12]
201;27/01/2020;845;12;5;[El legado de Turing - historia de la informática - 12, Scrum diario - ingeniería de software - 10, CI/CD en la práctica - infraestructura - 6]
202;17/02/2020;1096;14;3;[Infraestructura como código - infraestructura - 8, Auditorías de red - seguridad informática - 10]
203;09/03/2020;941;20;3;[Frameworks modernos - desarrollo web - 6, Visión por computador - inteligencia artificial - 6]
204;16/03/2020;1136;18;6;[Documentación útil - ingeniería de software - 8, Testing ágil - ingeniería de software - 6]
205;16/03/2020;1164;14;5;[Modelos generativos - inteligencia artificial - 8, HTML5 y CSS3 - desarrollo web - 10]
206;27/04/2020;791;18;6;[Casos de uso - ingeniería de software - 10, Visión por computador - inteligencia artificial - 12]
207;06/07/2020;659;20;5;[Scrum diario - ingeniería de software - 12]
208;27/07/2020;813;18;2;[Responsabilidad del desarrollador - ética profesional - 10, RSA explicado - criptografía - 12]
209;17/08/2020;1402;16;2;[RSA explicado - criptografía - 10, Amenazas comunes - seguridad informática - 10, Refactorización - ingeniería de software - 12]
210;21/12/2020;1263;20;6;[Contenedores en producción - infraestructura - 12, IA en el aula - inteligencia artificial - 8]
211;25/01/2021;528;14;2;[Eventos open source - comunidad - 10]
212;01/03/2021;1432;12;2;[Kubernetes fácil - infraestructura - 12]
213;08/03/2021;590;18;4;[Nuevas APIs web - desarrollo web - 8, Web accesible - desarrollo web - 6]
214;12/04/2021;1301;18;5;[Normalización - bases de datos - 6]
215;03/05/2021;1488;20;3;[Documentación útil - ingeniería de software - 10, Kubernetes fácil - infraestructura - 10, Prototipado rápido - diseño - 8]
216;31/05/2021;1119;12;2;[Redes neuronales - inteligencia artificial - 10, Scrum diario - ingeniería de software - 12, RSA explicado - criptografía - 6]
217;21/06/2021;1444;20;3;[Cifrado simétrico - criptografía - 12, NoSQL práctico - bases de datos - 8]
218;28/06/2021;1265;14;6;[Desarrollo responsivo - desarrollo web - 12, IA en el aula - inteligencia artificial - 12, Modelos generativos - inteligencia artificial - 10]
219;09/08/2021;1321;12;2;[IA en el aula - inteligencia artificial - 12]
220;27/09/2021;608;16;4;[Modelos generativos - inteligencia artificial - 10, Refactorización - ingeniería de software - 12, Evaluación online - educación - 10]
221;04/10/2021;1268;20;6;[Desarrollo responsivo - desarrollo web - 6, Wireframes - diseño - 8, Privacidad digital - ética profesional - 6]
222;18/10/2021;518;14;4;[Auditorías de red - seguridad informática - 12, Índices en SQL - bases de datos - 6]
223;01/11/2021;1482;14;5;[Nacimiento del PC - historia de la informática - 8, Docker básico - infraestructura - 12, Cifrado simétrico - criptografía - 6]
224;15/11/2021;1194;18;4;[IA en el aula - inteligencia artificial - 10, Índices en SQL - bases de datos - 12]
225;29/11/2021;756;14;5;[Cifrado simétrico - criptografía - 8, Auditorías de red - seguridad informática - 10, Frameworks modernos - desarrollo web - 8]
226;20/12/2021;955;14;2;[Sharding eficiente - bases de datos - 6, Orígenes del software libre - historia de la informática - 12]
227;27/12/2021;863;18;3;[TLS actualizado - criptografía - 8, Prototipado rápido - diseño - 6]
228;14/02/2022;960;12;6;[Color y contraste - diseño - 12, Códigos de conducta - ética profesional - 8]
229;21/02/2022;1450;18;6;[Tuning de consultas - bases de datos - 6]
230;21/02/2022;1126;20;5;[Prototipado rápido - diseño - 8, Tuning de consultas - bases de datos - 12]
231;28/02/2022;941;16;2;[HTML5 y CSS3 - desarrollo web - 6, Riesgos tecnológicos - ética profesional - 10]
232;18/04/2022;1463;20;4;[IA en el aula - inteligencia artificial - 12]
233;25/04/2022;1368;18;4;[Kubernetes fácil - infraestructura - 6, Wireframes - diseño - 6, TLS actualizado - criptografía - 10]
234;09/05/2022;901;18;6;[Hackathons - comunidad - 12, Índices en SQL - bases de datos - 10]
235;23/05/2022;1436;14;2;[Índices en SQL - bases de datos - 10, Desarrollo responsivo - desarrollo web - 8]
